h,irf_lipc_to_tasar
0,0.0
1,0.0016456798512487075
2,0.0027284840084843267
3,0.0034613816826646283
4,0.003907463109284681
5,0.004094288745453305
6,0.004054870722332655
7,0.003829215814150665
8,0.0034592468031529595
9,0.002983754636427996
10,0.0024357973672168836
11,0.0018420622637479998
12,0.001223399382512866
13,0.0005958212525836049
14,-2.845692613963509e-05
15,-0.000640137554320869
16,-0.001232174586516845
17,-0.0017992991828284734
18,-0.0023376878987385356
19,-0.0028447239031119623
20,-0.0033188127505893324
21,-0.0037592276053082024
22,-0.00416597014488596
23,-0.004539641268567289
24,-0.0048813203561062155
25,-0.005192453969199385
26,-0.00547475544585791
27,-0.005730116549184542
28,-0.00596053170992109
29,-0.0061680347528271715
30,-0.006354647469429595
31,-0.006522339041341533
32,-0.006672995120517519
33,-0.006808395302451305
34,-0.006930197747176008
35,-0.007039929777180683
36,-0.00713898338521008
37,-0.007228614700685184
38,-0.007309946580184479
39,-0.007383973598918338
40,-0.00745156882343599
41,-0.007513491839827029
42,-0.0075703975963173535
43,-0.007622845694775736
44,-0.007671309832776338
45,-0.007716187157073219
46,-0.0077578073411897885
47,-0.007796441244840985
48,-0.007832309051606118
49,-0.007865587814165926
50,-0.007896418364017131
