h,irf_lom_to_tasaso
0,0.0
1,-0.016674577797429535
2,-0.02279331421893816
3,-0.02424312411585059
4,-0.02337300354462886
5,-0.021385544764911085
6,-0.019023847754278095
7,-0.016695685916248933
8,-0.014587860824041367
9,-0.01275221869661063
10,-0.011171247652469088
11,-0.009800121513903429
12,-0.008590506595638474
13,-0.007501546286708991
14,-0.006503124182232058
15,-0.005575134345463181
16,-0.0047051858811068895
17,-0.003886100151710866
18,-0.0031138263487858926
19,-0.002385958081740476
20,-0.0017008066274956032
21,-0.0010568981747597732
22,-0.000452751692260462
23,0.00011318122359586444
24,0.0006424983004551382
25,0.0011368020363485137
26,0.0015976560030359355
27,0.0020265533339168668
28,0.0024248995264981726
29,0.0027940073063203487
30,0.0031350998798775273
31,0.003449319049331656
32,0.003737735451875144
33,0.004001359094826167
34,0.004241149133414165
35,0.004458022400714315
36,0.0046528605565554285
37,0.004826515919328676
38,0.004979816132954593
39,0.005113567844712275
40,0.005228559559943908
41,0.005325563816951623
42,0.005405338800808585
43,0.005468629493340014
44,0.00551616843963534
45,0.005548676198782939
46,0.005566861537061891
47,0.005571421414517797
48,0.005563040809842698
49,0.005542392423204281
50,0.005510136291804557
