h,irf_ltc_to_tasaso
0,0.0
1,0.005890607834202002
2,0.01140839260794493
3,0.013539714751765729
4,0.013712056006031807
5,0.012989902500095431
6,0.011954143627261257
7,0.010864772902113035
8,0.009821843388284856
9,0.008849470873771146
10,0.007941969113963188
11,0.007085702835590223
12,0.0062684211548986665
13,0.005482038833562771
14,0.004722502082725261
15,0.003988631952316472
16,0.003280878071314502
17,0.002600347920549242
18,0.001948187700316767
19,0.0013252619244855154
20,0.0007320405877182003
21,0.00016860793091867318
22,-0.0003652716952185272
23,-0.0008700720318980323
24,-0.0013464293456937008
25,-0.0017950822190283336
26,-0.0022168281232084284
27,-0.0026124944399427766
28,-0.0029829203442673455
29,-0.0033289460722888947
30,-0.00365140679213187
31,-0.003951129115797276
32,-0.004228929006125905
33,-0.0044856103672137135
34,-0.004721963959469682
35,-0.004938766487993996
36,-0.005136779819117808
37,-0.0053167503235864635
38,-0.00547940835483212
39,-0.005625467865903548
40,-0.0057556261597001045
41,-0.005870563759415519
42,-0.0059709443813513825
43,-0.0060574149905318845
44,-0.00613060592011482
45,-0.006191131037571521
46,-0.006239587943250642
47,-0.006276558189718553
48,-0.006302607512864956
49,-0.0063182860680223215
50,-0.0063241286662265184
